Datetime,100020113 (Wolbecker Straße),101020113 (FR stadteinwärts),102020113 (FR stadtauswärts),100020113-status,101020113-status,102020113-status
2026-09-01 00:00,9,9,0,0,0,0
2026-09-01 00:15,3,3,0,0,0,0
2026-09-01 00:30,1,1,0,0,0,0
2026-09-01 00:45,5,5,0,0,0,0
2026-09-01 01:00,4,4,0,0,0,0
2026-09-01 01:15,2,2,0,0,0,0
2026-09-01 01:30,2,2,0,0,0,0
2026-09-01 01:45,1,1,0,0,0,0
2026-09-01 02:00,0,0,0,0,0,0
2026-09-01 02:15,3,3,0,0,0,0
2026-09-01 02:30,1,1,0,0,0,0
2026-09-01 02:45,0,0,0,0,0,0
2026-09-01 03:00,0,0,0,0,0,0
2026-09-01 03:15,0,0,0,0,0,0
2026-09-01 03:30,1,1,0,0,0,0
2026-09-01 03:45,2,2,0,0,0,0
2026-09-01 04:00,2,2,0,0,0,0
2026-09-01 04:15,2,2,0,0,0,0
2026-09-01 04:30,0,0,0,0,0,0
2026-09-01 04:45,3,3,0,0,0,0
2026-09-01 05:00,6,6,0,0,0,0
2026-09-01 05:15,10,10,0,0,0,0
2026-09-01 05:30,4,4,0,0,0,0
2026-09-01 05:45,14,14,0,0,0,0
2026-09-01 06:00,5,5,0,0,0,0
2026-09-01 06:15,20,20,0,0,0,0
2026-09-01 06:30,30,30,0,0,0,0
2026-09-01 06:45,35,35,0,0,0,0
2026-09-01 07:00,32,32,0,0,0,0
2026-09-01 07:15,39,39,0,0,0,0
2026-09-01 07:30,54,54,0,0,0,0
2026-09-01 07:45,89,89,0,0,0,0
2026-09-01 08:00,57,57,0,0,0,0
2026-09-01 08:15,60,60,0,0,0,0
2026-09-01 08:30,54,54,0,0,0,0
2026-09-01 08:45,77,77,0,0,0,0
2026-09-01 09:00,55,55,0,0,0,0
2026-09-01 09:15,32,32,0,0,0,0
2026-09-01 09:30,39,39,0,0,0,0
2026-09-01 09:45,51,51,0,0,0,0
2026-09-01 10:00,36,36,0,0,0,0
2026-09-01 10:15,38,38,0,0,0,0
2026-09-01 10:30,40,40,0,0,0,0
2026-09-01 10:45,63,63,0,0,0,0
2026-09-01 11:00,32,32,0,0,0,0
2026-09-01 11:15,39,39,0,0,0,0
2026-09-01 11:30,37,37,0,0,0,0
2026-09-01 11:45,71,71,0,0,0,0
2026-09-01 12:00,75,75,0,0,0,0
2026-09-01 12:15,51,51,0,0,0,0
2026-09-01 12:30,57,57,0,0,0,0
2026-09-01 12:45,48,48,0,0,0,0
2026-09-01 13:00,67,67,0,0,0,0
2026-09-01 13:15,68,68,0,0,0,0
2026-09-01 13:30,65,65,0,0,0,0
2026-09-01 13:45,69,69,0,0,0,0
2026-09-01 14:00,73,73,0,0,0,0
2026-09-01 14:15,73,73,0,0,0,0
2026-09-01 14:30,88,88,0,0,0,0
2026-09-01 14:45,63,63,0,0,0,0
2026-09-01 15:00,90,90,0,0,0,0
2026-09-01 15:15,81,81,0,0,0,0
2026-09-01 15:30,95,95,0,0,0,0
2026-09-01 15:45,115,115,0,0,0,0
2026-09-01 16:00,124,124,0,0,0,0
2026-09-01 16:15,116,116,0,0,0,0
2026-09-01 16:30,121,121,0,0,0,0
2026-09-01 16:45,101,101,0,0,0,0
2026-09-01 17:00,113,113,0,0,0,0
2026-09-01 17:15,109,109,0,0,0,0
2026-09-01 17:30,116,116,0,0,0,0
2026-09-01 17:45,122,122,0,0,0,0
2026-09-01 18:00,131,131,0,0,0,0
2026-09-01 18:15,121,121,0,0,0,0
2026-09-01 18:30,106,106,0,0,0,0
2026-09-01 18:45,108,108,0,0,0,0
2026-09-01 19:00,82,82,0,0,0,0
2026-09-01 19:15,89,89,0,0,0,0
2026-09-01 19:30,81,81,0,0,0,0
2026-09-01 19:45,62,62,0,0,0,0
2026-09-01 20:00,70,70,0,0,0,0
2026-09-01 20:15,58,58,0,0,0,0
2026-09-01 20:30,45,45,0,0,0,0
2026-09-01 20:45,54,54,0,0,0,0
2026-09-01 21:00,42,42,0,0,0,0
2026-09-01 21:15,39,39,0,0,0,0
2026-09-01 21:30,27,27,0,0,0,0
2026-09-01 21:45,41,41,0,0,0,0
2026-09-01 22:00,44,44,0,0,0,0
2026-09-01 22:15,33,33,0,0,0,0
2026-09-01 22:30,21,21,0,0,0,0
2026-09-01 22:45,26,26,0,0,0,0
2026-09-01 23:00,14,14,0,0,0,0
2026-09-01 23:15,10,10,0,0,0,0
2026-09-01 23:30,6,6,0,0,0,0
2026-09-01 23:45,1,1,0,0,0,0
2026-09-02 00:00,2,2,0,0,0,0
2026-09-02 00:15,6,6,0,0,0,0
2026-09-02 00:30,8,8,0,0,0,0
2026-09-02 00:45,5,5,0,0,0,0
2026-09-02 01:00,9,9,0,0,0,0
2026-09-02 01:15,1,1,0,0,0,0
2026-09-02 01:30,5,5,0,0,0,0
2026-09-02 01:45,3,3,0,0,0,0
2026-09-02 02:00,0,0,0,0,0,0
2026-09-02 02:15,0,0,0,0,0,0
2026-09-02 02:30,0,0,0,0,0,0
2026-09-02 02:45,0,0,0,0,0,0
2026-09-02 03:00,0,0,0,0,0,0
2026-09-02 03:15,0,0,0,0,0,0
2026-09-02 03:30,0,0,0,0,0,0
2026-09-02 03:45,0,0,0,0,0,0
2026-09-02 04:00,2,2,0,0,0,0
2026-09-02 04:15,1,1,0,0,0,0
2026-09-02 04:30,0,0,0,0,0,0
2026-09-02 04:45,3,3,0,0,0,0
2026-09-02 05:00,8,8,0,0,0,0
2026-09-02 05:15,13,13,0,0,0,0
2026-09-02 05:30,5,5,0,0,0,0
2026-09-02 05:45,8,8,0,0,0,0
2026-09-02 06:00,7,7,0,0,0,0
2026-09-02 06:15,26,26,0,0,0,0
2026-09-02 06:30,23,23,0,0,0,0
2026-09-02 06:45,30,30,0,0,0,0
2026-09-02 07:00,37,37,0,0,0,0
2026-09-02 07:15,67,67,0,0,0,0
2026-09-02 07:30,75,75,0,0,0,0
2026-09-02 07:45,96,96,0,0,0,0
2026-09-02 08:00,70,70,0,0,0,0
2026-09-02 08:15,63,63,0,0,0,0
2026-09-02 08:30,61,61,0,0,0,0
2026-09-02 08:45,69,69,0,0,0,0
2026-09-02 09:00,40,40,0,0,0,0
2026-09-02 09:15,44,44,0,0,0,0
2026-09-02 09:30,46,46,0,0,0,0
2026-09-02 09:45,54,54,0,0,0,0
2026-09-02 10:00,44,44,0,0,0,0
2026-09-02 10:15,60,60,0,0,0,0
2026-09-02 10:30,46,46,0,0,0,0
2026-09-02 10:45,70,70,0,0,0,0
2026-09-02 11:00,49,49,0,0,0,0
2026-09-02 11:15,59,59,0,0,0,0
2026-09-02 11:30,93,93,0,0,0,0
2026-09-02 11:45,56,56,0,0,0,0
2026-09-02 12:00,79,79,0,0,0,0
2026-09-02 12:15,86,86,0,0,0,0
2026-09-02 12:30,84,84,0,0,0,0
2026-09-02 12:45,98,98,0,0,0,0
2026-09-02 13:00,99,99,0,0,0,0
2026-09-02 13:15,146,146,0,0,0,0
2026-09-02 13:30,119,119,0,0,0,0
2026-09-02 13:45,133,133,0,0,0,0
2026-09-02 14:00,99,99,0,0,0,0
2026-09-02 14:15,116,116,0,0,0,0
2026-09-02 14:30,113,113,0,0,0,0
2026-09-02 14:45,110,110,0,0,0,0
2026-09-02 15:00,126,126,0,0,0,0
2026-09-02 15:15,109,109,0,0,0,0
2026-09-02 15:30,129,129,0,0,0,0
2026-09-02 15:45,149,149,0,0,0,0
2026-09-02 16:00,120,120,0,0,0,0
2026-09-02 16:15,156,156,0,0,0,0
2026-09-02 16:30,130,130,0,0,0,0
2026-09-02 16:45,149,149,0,0,0,0
2026-09-02 17:00,155,155,0,0,0,0
2026-09-02 17:15,142,142,0,0,0,0
2026-09-02 17:30,133,133,0,0,0,0
2026-09-02 17:45,151,151,0,0,0,0
2026-09-02 18:00,159,159,0,0,0,0
2026-09-02 18:15,137,137,0,0,0,0
2026-09-02 18:30,122,122,0,0,0,0
2026-09-02 18:45,86,86,0,0,0,0
2026-09-02 19:00,96,96,0,0,0,0
2026-09-02 19:15,78,78,0,0,0,0
2026-09-02 19:30,53,53,0,0,0,0
2026-09-02 19:45,68,68,0,0,0,0
2026-09-02 20:00,62,62,0,0,0,0
2026-09-02 20:15,59,59,0,0,0,0
2026-09-02 20:30,36,36,0,0,0,0
2026-09-02 20:45,48,48,0,0,0,0
2026-09-02 21:00,43,43,0,0,0,0
2026-09-02 21:15,29,29,0,0,0,0
2026-09-02 21:30,19,19,0,0,0,0
2026-09-02 21:45,34,34,0,0,0,0
2026-09-02 22:00,33,33,0,0,0,0
